Dim1,Dim2,species
-24.354542,-0.037450712,setosa
-20.484972,0.38790154,setosa
-21.595934,-0.42232323,setosa
-20.840492,-0.5688963,setosa
-24.82067,0.5195969,setosa
-26.652058,0.23741813,setosa
-22.681326,0.853984,setosa
-23.38349,-0.042982224,setosa
-19.791935,-0.46540487,setosa
-21.193045,0.4157824,setosa
-25.832956,-0.30673632,setosa
-22.996906,0.44020468,setosa
-20.384844,0.02216188,setosa
-20.170448,-1.0112746,setosa
-27.235039,-0.23861293,setosa
-27.772465,0.29794848,setosa
-26.665318,0.15590186,setosa
-24.326687,0.0013387048,setosa
-26.570312,-0.4872519,setosa
-25.978104,0.6474705,setosa
-24.271734,-1.0651457,setosa
-25.454573,0.5393836,setosa
-24.158298,1.4884946,setosa
-23.007307,-0.85025287,setosa
-22.979763,0.5074783,setosa
-20.63104,0.66772664,setosa
-23.426018,-0.0483968,setosa
-24.564434,-0.34261394,setosa
-23.826666,-0.63732743,setosa
-21.628231,-0.29132244,setosa
-21.072083,-0.0531387,setosa
-24.223738,-1.0906827,setosa
-27.123568,0.7820463,setosa
-27.468515,0.37283513,setosa
-21.22976,0.34451586,setosa
-21.957638,0.08748937,setosa
-25.025967,-0.90871364,setosa
-24.679354,0.9083579,setosa
-20.236067,-0.7657546,setosa
-23.604885,-0.38737756,setosa
-24.092003,0.36708862,setosa
-18.63528,-0.33257172,setosa
-21.062487,-1.1000103,setosa
-24.018206,0.72580606,setosa
-26.071587,0.91129917,setosa
-20.38632,0.02685948,setosa
-25.977352,0.65634584,setosa
-21.419485,-0.7139865,setosa
-25.68739,-0.07983501,setosa
-22.659657,-0.2940443,setosa
12.937794,1.0374041,versicolor
11.750658,1.4555751,versicolor
12.8657055,0.68546426,versicolor
3.3636508,-0.80206996,versicolor
10.319847,-0.4963553,versicolor
6.5104117,-0.536361,versicolor
11.657977,1.8997636,versicolor
3.1567593,-1.98373,versicolor
10.85823,0.06474753,versicolor
5.015919,-1.796492,versicolor
2.5270162,-1.5480512,versicolor
7.8895607,0.5479487,versicolor
3.1578343,0.02733898,versicolor
8.702662,-0.100287095,versicolor
6.1167245,0.24462849,versicolor
12.062497,0.82229316,versicolor
7.2130756,0.881349,versicolor
5.342466,-0.43256426,versicolor
3.266944,0.8325854,versicolor
4.2039714,-0.88997835,versicolor
10.433609,1.9452375,versicolor
7.5092435,-0.6305743,versicolor
8.951815,-2.3428717,versicolor
8.031305,-0.71909326,versicolor
9.752511,-0.035179213,versicolor
11.446798,0.4653682,versicolor
11.1115885,-0.25222966,versicolor
12.702993,-0.11387444,versicolor
8.349589,0.19083713,versicolor
4.5335574,-0.5858026,versicolor
3.7003357,-1.0628028,versicolor
3.6151674,-1.1013613,versicolor
5.5778728,-0.623885,versicolor
8.983178,-1.381334,versicolor
6.7672915,1.0811805,versicolor
11.26402,2.3156617,versicolor
12.321097,0.6766791,versicolor
3.343328,0.72931874,versicolor
6.696436,0.54315346,versicolor
4.311847,-1.2501403,versicolor
4.90823,-1.1908433,versicolor
8.818369,0.34612715,versicolor
4.964831,-0.62661964,versicolor
3.0012681,-1.7873648,versicolor
5.633921,-0.928428,versicolor
6.888581,0.33190903,versicolor
6.7367296,-0.0038944508,versicolor
8.5675125,-0.22445267,versicolor
3.4960253,-1.9512129,versicolor
6.225446,-0.4338068,versicolor
15.245757,-3.0481007,virginica
8.345637,2.2234285,virginica
15.51443,-0.4354856,virginica
11.851003,-1.3688195,virginica
13.779998,-1.9744543,virginica
16.434538,0.29834482,virginica
4.496409,-2.4608033,virginica
15.793924,0.58210576,virginica
10.408501,-2.8353689,virginica
16.835419,-2.1382444,virginica
13.844501,-1.3166628,virginica
10.746,-2.032677,virginica
14.41321,-1.0246809,virginica
7.807963,2.6480303,virginica
8.833941,2.9481235,virginica
14.570849,-2.5216796,virginica
12.823085,-0.9667759,virginica
17.386496,-1.8606616,virginica
16.75021,0.9834748,virginica
3.292535,0.8673877,virginica
15.492172,-1.569691,virginica
8.438509,2.4410577,virginica
16.506039,0.7807357,virginica
10.083486,-1.6876756,virginica
15.319914,-2.0809765,virginica
15.397617,-0.085093446,virginica
10.023187,-1.1564021,virginica
9.928832,1.0973938,virginica
12.050148,-2.134209,virginica
15.1018915,0.57145673,virginica
16.029186,0.7305462,virginica
17.441782,-1.8084434,virginica
12.271483,-2.2529826,virginica
9.675115,-0.9082591,virginica
8.778637,-2.0316334,virginica
16.591967,0.14162959,virginica
15.237557,-3.1420379,virginica
13.02635,-0.86545426,virginica
9.657474,1.2502853,virginica
14.860786,-1.0183474,virginica
14.806219,-1.9201567,virginica
14.94557,-1.3657775,virginica
8.345637,2.2234285,virginica
15.43243,-1.7913175,virginica
15.589934,-2.4603312,virginica
14.319838,-1.6414722,virginica
9.778742,-2.4778452,virginica
13.226682,-1.3254528,virginica
15.004481,-3.2658298,virginica
9.578208,1.4402503,virginica
