sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),label
5.1,3.5,1.4,0.2,normal
4.9,3.0,1.4,0.2,normal
4.7,3.2,1.3,0.2,normal
4.6,3.1,1.5,0.2,normal
5.0,3.6,1.4,0.2,normal
5.4,3.9,1.7,0.4,normal
4.6,3.4,1.4,0.3,normal
5.0,3.4,1.5,0.2,normal
4.4,2.9,1.4,0.2,normal
4.9,3.1,1.5,0.1,normal
5.4,3.7,1.5,0.2,normal
4.8,3.4,1.6,0.2,normal
4.8,3.0,1.4,0.1,normal
4.3,3.0,1.1,0.1,normal
5.8,4.0,1.2,0.2,normal
5.7,4.4,1.5,0.4,normal
5.4,3.9,1.3,0.4,normal
5.1,3.5,1.4,0.3,normal
5.7,3.8,1.7,0.3,normal
5.1,3.8,1.5,0.3,normal
5.4,3.4,1.7,0.2,normal
5.1,3.7,1.5,0.4,normal
4.6,3.6,1.0,0.2,normal
5.1,3.3,1.7,0.5,normal
4.8,3.4,1.9,0.2,normal
5.0,3.0,1.6,0.2,normal
5.0,3.4,1.6,0.4,normal
5.2,3.5,1.5,0.2,normal
5.2,3.4,1.4,0.2,normal
4.7,3.2,1.6,0.2,normal
4.8,3.1,1.6,0.2,normal
5.4,3.4,1.5,0.4,normal
5.2,4.1,1.5,0.1,normal
5.5,4.2,1.4,0.2,normal
4.9,3.1,1.5,0.2,normal
5.0,3.2,1.2,0.2,normal
5.5,3.5,1.3,0.2,normal
4.9,3.6,1.4,0.1,normal
4.4,3.0,1.3,0.2,normal
5.1,3.4,1.5,0.2,normal
5.0,3.5,1.3,0.3,normal
4.5,2.3,1.3,0.3,normal
4.4,3.2,1.3,0.2,normal
5.0,3.5,1.6,0.6,normal
5.1,3.8,1.9,0.4,normal
4.8,3.0,1.4,0.3,normal
5.1,3.8,1.6,0.2,normal
4.6,3.2,1.4,0.2,normal
5.3,3.7,1.5,0.2,normal
5.0,3.3,1.4,0.2,normal
7.0,3.2,4.7,1.4,normal
6.4,3.2,4.5,1.5,normal
6.9,3.1,4.9,1.5,normal
5.5,2.3,4.0,1.3,normal
6.5,2.8,4.6,1.5,normal
5.7,2.8,4.5,1.3,normal
6.3,3.3,4.7,1.6,normal
4.9,2.4,3.3,1.0,normal
6.6,2.9,4.6,1.3,normal
5.2,2.7,3.9,1.4,normal
5.0,2.0,3.5,1.0,normal
5.9,3.0,4.2,1.5,normal
6.0,2.2,4.0,1.0,normal
6.1,2.9,4.7,1.4,normal
5.6,2.9,3.6,1.3,normal
6.7,3.1,4.4,1.4,normal
5.6,3.0,4.5,1.5,normal
5.8,2.7,4.1,1.0,normal
6.2,2.2,4.5,1.5,normal
5.6,2.5,3.9,1.1,normal
5.9,3.2,4.8,1.8,normal
6.1,2.8,4.0,1.3,normal
6.3,2.5,4.9,1.5,normal
6.1,2.8,4.7,1.2,normal
6.4,2.9,4.3,1.3,normal
6.6,3.0,4.4,1.4,normal
6.8,2.8,4.8,1.4,normal
6.7,3.0,5.0,1.7,normal
6.0,2.9,4.5,1.5,normal
5.7,2.6,3.5,1.0,normal
5.5,2.4,3.8,1.1,normal
5.5,2.4,3.7,1.0,normal
5.8,2.7,3.9,1.2,normal
6.0,2.7,5.1,1.6,normal
5.4,3.0,4.5,1.5,normal
6.0,3.4,4.5,1.6,normal
6.7,3.1,4.7,1.5,normal
6.3,2.3,4.4,1.3,normal
5.6,3.0,4.1,1.3,normal
5.5,2.5,4.0,1.3,normal
5.5,2.6,4.4,1.2,normal
6.1,3.0,4.6,1.4,normal
5.8,2.6,4.0,1.2,normal
5.0,2.3,3.3,1.0,normal
5.6,2.7,4.2,1.3,normal
5.7,3.0,4.2,1.2,normal
5.7,2.9,4.2,1.3,normal
6.2,2.9,4.3,1.3,normal
5.1,2.5,3.0,1.1,normal
5.7,2.8,4.1,1.3,normal
6.3,3.3,6.0,2.5,normal
5.8,2.7,5.1,1.9,normal
7.1,3.0,5.9,2.1,normal
6.3,2.9,5.6,1.8,normal
6.5,3.0,5.8,2.2,normal
7.6,3.0,6.6,2.1,normal
4.9,2.5,4.5,1.7,normal
7.3,2.9,6.3,1.8,normal
6.7,2.5,5.8,1.8,normal
7.2,3.6,6.1,2.5,normal
6.5,3.2,5.1,2.0,normal
6.4,2.7,5.3,1.9,normal
6.8,3.0,5.5,2.1,normal
5.7,2.5,5.0,2.0,normal
5.8,2.8,5.1,2.4,normal
6.4,3.2,5.3,2.3,normal
6.5,3.0,5.5,1.8,normal
7.7,3.8,6.7,2.2,normal
7.7,2.6,6.9,2.3,normal
6.0,2.2,5.0,1.5,normal
6.9,3.2,5.7,2.3,normal
5.6,2.8,4.9,2.0,normal
7.7,2.8,6.7,2.0,normal
6.3,2.7,4.9,1.8,normal
6.7,3.3,5.7,2.1,normal
7.2,3.2,6.0,1.8,normal
6.2,2.8,4.8,1.8,normal
6.1,3.0,4.9,1.8,normal
6.4,2.8,5.6,2.1,normal
7.2,3.0,5.8,1.6,normal
7.4,2.8,6.1,1.9,normal
7.9,3.8,6.4,2.0,normal
6.4,2.8,5.6,2.2,normal
6.3,2.8,5.1,1.5,normal
6.1,2.6,5.6,1.4,normal
7.7,3.0,6.1,2.3,normal
6.3,3.4,5.6,2.4,normal
6.4,3.1,5.5,1.8,normal
6.0,3.0,4.8,1.8,normal
6.9,3.1,5.4,2.1,normal
6.7,3.1,5.6,2.4,normal
6.9,3.1,5.1,2.3,normal
5.8,2.7,5.1,1.9,normal
6.8,3.2,5.9,2.3,normal
6.7,3.3,5.7,2.5,normal
6.7,3.0,5.2,2.3,normal
6.3,2.5,5.0,1.9,normal
6.5,3.0,5.2,2.0,normal
6.2,3.4,5.4,2.3,normal
5.9,3.0,5.1,1.8,normal
2.49448142616835,9.408571676918994,6.7839273017368615,5.183901810364439,anomaly
-0.12777631469076178,-0.12806575596556824,-1.3029966539816065,8.394113749299223,anomaly
5.213380140918506,6.496870933552547,-1.7529860684503706,9.638918225943932,anomaly
7.98931168960506,0.5480693281393139,0.18189960648520742,0.2008541182412058,anomaly
1.6509069155144527,4.297077179586854,3.1833402237053896,1.494749682376503,anomaly
5.342234736668553,-0.326073672175498,1.5057357824226179,2.3963421195243004,anomaly
3.472839810604431,7.422111536716162,0.39608538590031683,4.170813260963339,anomaly
5.108974826344509,-1.4425950473600273,5.29053822281726,0.04628948424749835,anomaly
-1.2193808841766458,9.38662644704,9.587584396894712,7.700768177397533,anomaly
1.6553652300804482,-0.8279346319233936,6.210796318145883,3.2818299248752156,anomaly
-0.5355411818626541,3.9421229213352422,-1.5873377466173793,8.911844824945385,anomaly
1.105359779200203,5.950267412247784,1.7405329130729315,4.24081625413373,anomaly
4.560523352119356,0.21825346630632447,9.635015533174702,7.301593880333375,anomaly
9.273987298770269,8.737928205131785,5.174799745733022,9.062490820277402,anomaly
-0.938089975376966,0.3517943490297424,-1.4572725330735432,1.903963969159172,anomaly
2.6641274762737837,1.256188381286751,7.944850109823152,2.281039920323071,anomaly
1.3712141162485691,4.512352997898981,-0.30890930030284824,7.626363769048476,anomaly
-1.1053922758427501,9.842643239206208,7.26693723155989,0.38458817841006887,anomaly
-1.9337345945167712,7.7855371414580095,6.4822881261714045,6.748086016491847,anomaly
7.255244160231349,-1.1114641791909157,2.301588742531271,-0.6095712856984434,anomaly
